G002341825	2	1224	1807140	225057	225058	119977	1945924
G002342085	2	1239	91061	1385	186818	1649	1946676
G002343115	2	976	1853228	1853229	563835	0	1951549
G002344155	2	976	1937959	1936988	89374	0	1952869
G002345135	2	67819	1077257	1077263	1077264	1077265	1946328
G002346355	2	74201	203494	48461	134627	0	1952935
G002346835	2	74201	203494	48461	134627	0	1952936
G002347465	2	1224	28221	69541	213422	28231	1961390
G002351115	2	1239	526524	526525	128827	1279388	1946654
G002360455	2	976	1937959	1936988	89374	0	1952878
G002360845	2	1224	1553900	2024979	263369	0	1961482
G002362235	2	976	200643	171549	171550	239759	1946010
G002362815	2	1224	28211	204458	76892	41275	588932
G002363295	2	201174	1760	85006	85022	0	1951959
G002367055	2	1239	91061	1385	186822	44249	189426
G002376595	2	201174	1760	85006	85022	0	1951960
G002378905	2	1297	188787	68933	188786	270	274
G002378915	2	1224	1236	1706369	1706372	0	1951906
G002379545	2	1224	1236	91347	1903412	568	546367
G002380295	2	1224	1236	1706369	1706374	1123967	1073414
G002380595	2	1117	0	1118	1890450	1453359	713887
G002381195	2	1224	1236	72274	468	469	1945939
G002383435	2	976	200643	171549	2005523	346096	1947024
G002384255	2	1297	188787	118964	183710	1298	68909
G002384365	2	1224	28211	0	0	0	1948397
G002384855	2	201174	1760	85009	85015	0	1953055
G002385805	2	1239	186801	186802	186807	0	1952706
G002386555	2	1239	91061	186826	81850	1243	1246
G002388025	2	201174	1760	85006	85023	33882	1946948
G002388375	2	1224	1236	135622	267893	135575	1946646
G002389025	2	1224	28211	362534	1331809	288021	1946675
G002393025	2	1224	28211	1921002	44746	0	1951932
G002395615	2	1239	909932	1843489	31977	906	1946847
G002396545	2	1224	28216	206389	2008795	73029	1946400
G002403995	2	1224	28216	32003	90627	96	1946564
G002404935	2	1239	186801	186802	424536	270497	1946276
G002405315	2	1224	28216	32003	90627	96	1946563
G002407925	2	201174	84998	84999	1643824	0	1951468
G002414625	2	1224	1236	72273	135616	40222	1946898
G002414935	2	1224	1236	1775403	568386	0	1953077
G002415925	2	201174	1760	85007	85029	37914	1946422
G002418725	2	544448	31969	186329	2146	0	1951328
G002422695	2	1224	29547	213849	72293	202746	1947589
G002422785	2	1224	1236	72273	34064	0	1951894
G002423615	2	1224	28221	213118	213119	0	1961538
G002426345	2	976	200643	171549	2005520	294702	1947284
G002427105	2	976	200643	1970189	558415	0	1952212
G002427755	2	976	768503	768507	200667	290180	1947389
G002427965	2	976	200643	1970189	1471398	0	1952948
G002430305	2	1239	909932	909929	1843490	0	1953029
G002431625	2	200795	301297	1202465	1202464	61434	61435
G002431805	2	201174	84998	1643822	1643826	0	1951647
G002432805	2	200918	188708	2419	1643950	2422	1946524
G002433005	2	508458	649775	649776	649777	49894	1946039
G002434125	2	1224	28216	80840	75682	149698	47229
G002434995	2	1224	1553900	213481	213483	0	1961517
G002435425	2	201174	1760	85007	85026	2053	1946576
G002435955	2	1224	28221	69541	213421	18	1961380
G002436165	2	976	200643	171549	171551	0	1952587
G002440555	2	1239	91061	186826	186827	1375	1945961
G002440705	2	976	117743	200644	49546	0	1951865
G002453155	2	1224	1553900	213481	213483	0	1961519
G002454495	2	1224	1236	135618	403	429	173365
G002456955	2	1224	1236	1706369	1706372	0	1986253
G002457715	2	976	117743	200644	246874	0	1986260
G002471545	2	201174	84992	84993	1798913	41949	1946203
G002471555	2	1224	28221	213115	194924	872	1961411
G002471895	2	1224	1236	72274	135621	0	1952791
G002473045	2	203691	203692	1643688	170	0	1952205
G002473345	2	1224	1236	1706369	1706375	630749	454602
G002476965	2	201174	1760	85006	85019	1696	33889
G002476985	2	201174	1760	85009	85015	2040	1945962
G002478725	2	1224	1236	135619	255527	0	1953074
G002479615	2	201174	1760	85006	85021	267408	1946057
G002482225	2	201174	1760	85007	1653	0	1951630
G002482545	2	1239	909932	909929	1843490	0	1953031
G002492145	2	1224	28216	80840	995019	0	1953088
G002492685	2	74201	203494	48461	1647988	239934	1945965
G002500165	2	201174	1760	85007	85026	2053	1946579
G002500565	2	1224	28211	1921002	44746	0	1951934
G002632265	2	1224	28211	766	775	0	2025905
G002683405	2	1224	1236	742030	742031	0	2026789
G002686115	2	1224	1553900	2024979	1652132	1652133	2020862
G002687095	2	1224	28211	204441	2066434	489140	2024832
G002690455	2	1224	28211	597358	597359	454159	1938587
G002690565	2	74201	414999	415001	415002	0	2026784
G002694885	2	74201	414999	415000	134623	0	2006848
G002696075	2	1936987	1853221	1853223	1813606	455358	2024824
