Rank	Taxon	Count
family	84997	3
family	85002	2
family	85015	33
family	85016	17
family	85017	6
family	85018	6
family	85019	7
family	85020	8
family	85021	30
family	85022	2
family	85023	85
family	85025	44
family	85026	21
family	85028	2
family	85029	3
family	85030	10
family	85031	2
family	85032	1
family	85033	1
family	85034	5
family	88404	3
family	89373	34
family	89374	3
family	90142	6
family	90627	5
family	90964	52
family	92712	1
family	92713	6
family	92714	2
family	104174	1
family	114378	4
family	117942	5
family	118882	6
family	118883	92
family	118968	11
family	119043	7
family	119045	19
family	119060	37
family	119859	3
family	125316	1
family	128827	50
family	134621	3
family	134623	6
family	134627	1
family	135616	52
family	135617	16
family	135620	40
family	135621	44
family	143067	5
family	143786	5
family	145357	7
family	145360	1
family	171550	17
family	171551	47
family	171552	90
family	182102	2
family	183710	21
family	183713	1
family	186803	177
family	186804	25
family	186806	35
family	186807	44
family	186814	25
family	186817	256
family	186818	27
family	186820	23
family	186821	8
family	186822	125
family	186823	14
family	186824	18
family	186827	14
family	186828	31
family	188709	19
family	188711	10
family	188786	19
family	189770	2
family	189773	2
family	189777	1
family	189779	18
family	191394	6
family	191412	13
family	194924	45
family	196117	10
family	196137	1
family	200667	18
family	203488	2
family	203492	21
family	203557	3
family	204431	12
family	204434	19
family	205957	1
family	206349	5
family	206379	26
family	213116	3
family	213117	9
family	213119	24
family	213121	16
family	213421	10
family	213422	14
family	213465	4
family	213468	13
family	213483	9
family	216572	7
family	219687	4
family	224027	5
family	224372	7
family	224379	7
family	224380	3
family	224463	2
family	224464	1
family	224467	3
family	225058	18
family	225059	1
family	227387	4
family	246874	11
family	255472	1
family	255474	2
family	255475	11
family	255526	2
family	255527	3
family	263369	5
family	267888	29
family	267889	10
family	267890	24
family	267891	2
family	267892	4
family	267893	17
family	267894	6
family	292628	11
family	316606	2
family	320583	2
family	320599	2
family	320796	1
family	332161	1
family	332247	1
family	335928	10
family	335929	22
family	338190	14
family	361606	3
family	388449	6
family	407032	6
family	412447	1
family	414713	1
family	414877	1
family	415002	2
family	424536	1
family	453228	5
family	475964	1
family	485255	1
family	510685	1
family	513556	1
family	539000	3
family	539003	1
family	541000	82
family	541019	1
family	543313	2
family	543314	10
family	543349	1
family	543371	15
family	543372	1
family	558314	4
family	558415	10
family	563798	21
family	563835	44
family	563843	3
family	566277	1
family	568386	8
family	570265	3
family	574976	2
family	580372	1
family	596498	1
family	597359	3
family	622451	3
family	622454	1
family	641876	1
family	649777	23
family	655351	1
family	660062	1
family	666507	1
family	685949	1
family	693073	2
family	715221	1
family	717964	3
family	742031	2
family	768668	2
family	795749	1
family	871007	5
family	909930	12
family	990719	4
family	995019	9
family	1033997	5
family	1042322	2
family	1055686	1
family	1077264	4
family	1100104	1
family	1127830	4
family	1129771	15
family	1185407	1
family	1191479	1
family	1198451	4
family	1202464	30
family	1217100	3
family	1240483	19
family	1266054	1
family	1328881	2
family	1331736	2
family	1331809	1
family	1333713	1
family	1334117	3
family	1382930	1
family	1392996	2
family	1400857	2
family	1442156	2
family	1460864	1
family	1471398	7
family	1486721	2
family	1491775	1
family	1499392	22
family	1501348	3
family	1505234	1
family	1508635	2
family	1522127	1
family	1524213	1
family	1524215	2
family	1524216	1
family	1553902	1
family	1559980	1
family	1570339	28
family	1573805	1
family	1577788	5
family	1643685	43
family	1643824	30
family	1643826	17
family	1643948	3
family	1643950	5
family	1644056	19
family	1644061	29
family	1647988	12
family	1648490	2
family	1652132	1
family	1655514	17
family	1663426	1
family	1676141	1
family	1676650	1
family	1692041	1
family	1706371	21
family	1706372	9
family	1706373	2
family	1706374	6
family	1706375	7
family	1737406	2
family	1738654	1
family	1747776	1
family	1763524	3
family	1769717	1
family	1771359	1
family	1775411	17
family	1777752	3
family	1783343	1
family	1798913	1
family	1812917	1
family	1813606	4
family	1827282	1
family	1836792	1
family	1840213	1
family	1843490	11
family	1843491	25
family	1853230	8
family	1853231	11
family	1853232	19
family	1853233	1
family	1853234	1
family	1860138	1
family	1890422	2
family	1890426	52
family	1890428	9
family	1890429	2
family	1890431	1
family	1890436	8
family	1890438	14
family	1890448	2
family	1890449	21
family	1890450	10
family	1890452	3
family	1890464	5
family	1890497	1
family	1890498	1
family	1890499	1
family	1890500	3
family	1890528	2
family	1892249	7
family	1892251	7
family	1892252	18
family	1892254	9
family	1892255	1
family	1892258	1
family	1892259	11
family	1892261	2
family	1892263	10
family	1892264	1
family	1902584	1
family	1903409	30
family	1903410	8
family	1903411	46
family	1903412	3
family	1903414	17
family	1903416	4
family	1914233	2
family	1915415	4
family	1920240	2
family	1921568	1
family	1921783	1
family	1934946	1
family	1937960	4
family	1937961	2
family	1937962	2
family	1937968	2
family	1955043	1
family	1962854	2
family	1962910	1
family	1963268	12
family	1963270	7
family	1963271	16
genus	6	2
genus	10	4
genus	13	2
genus	16	3
genus	18	3
genus	20	3
genus	22	24
genus	32	3
genus	40	1
genus	42	1
genus	47	1
genus	50	2
genus	53	1
genus	59	2
genus	64	2
genus	68	12
genus	71	1
genus	75	4
genus	81	5
genus	85	9
genus	88	1
genus	96	1
genus	99	1
genus	101	1
genus	105	3
genus	107	7
genus	113	1
genus	118	1
genus	123	2
genus	127	1
genus	133	3
genus	138	18
genus	146	7
genus	157	28
genus	171	24
genus	179	10
genus	187	1
genus	191	6
genus	194	21
genus	209	31
genus	222	2
genus	226	15
genus	234	1
genus	237	38
genus	262	52
genus	265	12
genus	270	11
genus	279	2
genus	283	7
genus	286	41
genus	338	8
genus	352	1
genus	357	9
genus	374	19
genus	379	19
genus	404	2
genus	407	14
genus	413	1
genus	416	3
genus	425	2
genus	429	3
genus	434	14
genus	441	3
genus	445	78
genus	461	2
genus	465	1
genus	469	42
genus	475	54
genus	482	12
genus	497	9
genus	499	1
genus	507	1
genus	517	9
genus	522	2
genus	528	4
genus	532	2
genus	535	4
genus	538	1
genus	541	8
genus	544	2
genus	547	3
genus	551	10
genus	561	7
genus	568	1
genus	570	5
genus	579	3
genus	581	3
genus	583	1
genus	586	3
genus	590	1
genus	613	7
genus	620	2
genus	626	4
genus	629	33
genus	635	1
genus	637	3
genus	642	8
genus	657	14
genus	662	33
genus	702	1
