genome	kingdom	phylum	class	order	family	genus	species
G000015345	2	1224	1236	135615	868	869	870
G000015405	2	201174	1760	85007	1762	1763	189918
G000015445	2	1224	28211	356	772	773	774
G000015505	2	1224	28216	80840	80864	52972	216465
G000015565	2	1224	28216	80840	80864	364316	364317
G000015585	2	1224	1236	135613	72276	85108	1053
G000015645	2	1117	0	1890424	1213	1218	1219
G000015665	2	1117	0	1890424	1213	1218	1219
G000015685	2	1117	0	1890424	1213	1218	1219
G000015705	2	1117	0	1890424	1213	1218	1219
G000015725	2	1224	28216	80840	0	316612	105560
G000015745	2	1239	91061	1385	186817	129337	33940
G000015765	2157	28890	224756	2191	88404	2192	83984
G000015805	2157	28889	183924	2266	2267	2276	181486
G000015825	2157	28890	224756	2191	2194	45989	2198
G000015865	2	1239	186801	186802	541000	1508657	1515
G000015885	2	1224	1236	135625	712	713	715
G000015945	2157	28889	183924	114380	2272	2279	2280
G000015965	2	1117	0	1890424	1213	1218	1219
G000016065	2	1224	1236	135622	267890	22	359303
G000016085	2	1090	191410	191411	191412	1091	1094
G000016165	2	1239	186801	186802	186807	1562	59610
G000016185	2	1224	28211	204441	41295	1081	34018
G000016285	2	1224	28211	356	82115	357	373
G000016325	2	1224	1236	91347	543	547	399742
G000016345	2	1224	28216	80840	119060	44013	576611
G000016385	2157	28889	183924	2266	2267	2276	121277
G000016405	2	1224	28211	204455	31989	1060	1063
G000016425	2	201174	1760	85008	28056	168694	168695
G000016505	2	1239	186801	186802	31979	1485	1534
G000016525	2157	28890	183925	2158	2159	2172	2173
G000016545	2	1239	186801	68295	543371	44000	44001
G000016565	2	1224	1236	72274	135621	286	300
G000016605	2157	28889	183924	2281	118883	41980	43687
G000016645	2	976	117743	200644	49546	237	986
G000016665	2	200795	32061	32064	1508635	120961	357808
G000016705	2	200795	301297	1202465	1202464	61434	61435
G000016745	2	1224	28221	69541	213422	28231	351604
G000016765	2	1224	28211	204457	41297	13687	160791
G000016785	2	200918	188708	2419	188709	2335	93929
G000016825	2	1239	91061	186826	33958	1578	1598
G000016885	2	1224	1236	72274	468	497	349106
G000016905	2	200918	188708	2419	1643950	2420	46541
G000016985	2	1239	186801	186802	31979	114627	208226
G000017005	2	1239	91061	186826	1300	1301	1302
G000017045	2	1239	186801	186802	31979	1485	1491
G000017105	2	1224	1236	118969	118968	776	777
G000017145	2	1224	28211	356	82115	28105	110321
G000017165	2157	28890	183939	2182	2183	2184	2187
G000017185	2157	28890	183939	2182	2183	2184	42879
G000017225	2157	28890	183939	2182	2183	2184	39152
G000017245	2	1224	1236	135625	712	713	67854
G000017265	2	1224	28211	204458	76892	20	284016
G000017305	2	201174	1760	622452	83778	33981	131568
G000017405	2	1224	28211	356	118882	528	529
G000017425	2	1239	91061	1385	186817	1386	580165
G000017465	2	1224	29547	213849	72294	194	200
G000017505	2	1224	28221	29	1524215	161492	404589
G000017545	2	200918	188708	2419	1643950	2422	2424
G000017565	2	1224	28211	356	119043	256616	256618
G000017585	2	1224	29547	213849	72294	194	76517
G000017625	2157	28890	224756	2191	1198451	395331	358766
G000017645	2	1224	28211	356	335928	279	280
G000017685	2	203691	203692	0	170	171	172
