genome	kingdom	phylum	class	order	family	genus	species
G000999065	2	0	0	0	0	0	1618521
G000999085	2	1752738	0	0	0	0	1618651
G000999145	2	1752738	0	0	0	0	1618644
G000999165	2	1752720	0	0	0	0	1618437
G000999175	2	0	0	0	0	0	1618876
G000999185	2	1752729	0	0	0	0	1618738
G000999255	2	0	0	0	0	0	1618827
G000999305	2	422282	0	0	0	0	1619121
G000999315	2	1619053	0	0	0	0	1619068
G000999325	2	1752741	0	0	0	0	1618622
G000999365	2	1752731	0	0	0	0	1619051
G000999385	2	422282	0	0	0	0	1619136
G000999395	2	0	0	0	0	0	1618846
G000999405	2	422282	0	0	0	0	1619143
G000999445	2	1619053	0	0	0	0	1619057
G000999475	2	1752729	0	0	0	0	1618746
G000999505	2	422282	0	0	0	0	1619128
G000999585	2	422282	0	0	0	0	1619109
G000999595	2	0	0	0	0	0	1618500
G000999665	2	1752741	0	0	0	0	1618620
G000999675	2	0	0	0	0	0	1618787
G000999715	2	1752728	0	0	0	0	1618643
G000999765	2	1752737	0	0	0	0	1618719
G000999805	2	1752730	0	0	0	0	1618361
G000999865	2	0	0	0	0	0	1618911
G000999925	2	1752729	0	0	0	0	1618747
G000999945	2	1619053	0	0	0	0	1619058
G000999965	2	1619053	0	0	0	0	1619056
G001000005	2	1752738	0	0	0	0	1618656
G001000025	2	0	0	0	0	0	1618947
G001000035	2	1752729	0	0	0	0	1618779
G001000065	2	0	0	0	0	0	1619086
G001000105	2	0	0	0	0	0	1618875
G001000125	2	1752731	0	0	0	0	1619040
G001000145	2	0	0	0	0	0	1618828
G001000185	2	0	0	0	0	0	1618957
G001000205	2	0	0	0	0	0	1618535
G001000215	2	422282	0	0	0	0	1619106
G001000245	2	1752725	0	0	0	0	1618393
G001000285	2	0	0	0	0	0	1618912
G001000305	2	1752735	0	0	0	0	1619008
G001000315	2	0	0	0	0	0	1618522
G001000345	2	0	0	0	0	0	1618537
G001000385	2	1752722	0	0	0	0	1618579
G001000395	2	1752737	0	0	0	0	1618726
G001000435	2	1752720	0	0	0	0	1618447
G001000465	2	0	0	0	0	0	1618534
G001000475	2	1752725	0	0	0	0	1618376
G001000505	2	0	0	0	0	0	1618829
G001000585	2	0	0	0	0	0	1618830
G001000595	2	0	0	0	0	0	1618788
G001000625	2	1752725	0	0	0	0	1618391
G001000665	2	1752725	0	0	0	0	1618379
G001000675	2	1752735	0	0	0	0	1619017
G001000705	2	422282	0	0	0	0	1619140
G001000745	2	1752725	0	0	0	0	1618404
G001000795	2	0	0	0	0	0	1618929
G001000815	2	0	0	0	0	0	1618969
G001000865	2	1752725	0	0	0	0	1618392
G001000945	2	1752735	0	0	0	0	1619018
G001000955	2	0	0	0	0	0	1618930
G001000965	2	1752725	0	0	0	0	1618387
G001001005	2	1752730	0	0	0	0	1618353
G001001045	2	1752722	0	0	0	0	1618558
G001001055	2	0	0	0	0	0	1618523
G001001115	2	1752735	0	0	0	0	1619002
G001001125	2	1752725	0	0	0	0	1618398
G001001155	2	1752737	0	0	0	0	1618700
G001001205	2	0	0	0	0	0	1618973
G001001285	2	0	0	0	0	0	1618914
G001001305	2	0	0	0	0	0	1618832
G001001345	2	0	0	0	0	0	1618915
G001001365	2	1752725	0	0	0	0	1618377
G001001375	2	1752730	0	0	0	0	1618364
G001001425	2	0	0	0	0	0	1618931
G001001445	2	0	0	0	0	0	1618506
G001001455	2	1752730	0	0	0	0	1618358
G001001485	2	1752725	0	0	0	0	1618388
G001001525	2	1752737	0	0	0	0	1618696
G001001555	2	1752730	0	0	0	0	1618366
G001001575	2	0	0	0	0	0	1618539
G001001625	2	0	0	0	0	0	1618834
G001001635	2	1752725	0	0	0	0	1618385
G001001645	2	1752732	0	0	0	0	1618993
G001001655	2	1752731	0	0	0	0	1619041
G001001705	2	0	0	0	0	0	1618844
G001001715	2	1752725	0	0	0	0	1618395
G001001795	2	0	0	0	0	0	1618958
G001001845	2	0	0	0	0	0	1618932
G001001885	2	1752726	0	0	0	0	1618370
G001001925	2	1752731	0	0	0	0	1619050
G001001935	2	0	0	0	0	0	1618841
G001001955	2	1752726	0	0	0	0	1618371
G001002005	2	0	0	0	0	0	1618879
G001002015	2	1752739	0	0	0	0	1618663
G001002035	2	0	0	0	0	0	1618529
G001002095	2	0	0	0	0	0	1618916
G001002165	2	0	0	0	0	0	1618835
G001002185	2	95818	0	0	0	0	1619069
G001002205	2	0	0	0	0	0	1618538
G001002285	2	0	0	0	0	0	1618526
G001002295	2	0	0	0	0	0	1618494
G001002325	2	1752730	0	0	0	0	1618360
G001002345	2	0	0	0	0	0	1618527
G001002355	2	0	0	0	0	0	1618501
G001002405	2	1752730	0	0	0	0	1618354
G001002415	2	0	0	0	0	0	1618540
G001002455	2	0	0	0	0	0	1618528
G001002485	2	1752738	0	0	0	0	1618654
G001002525	2	1752730	0	0	0	0	1618363
G001002565	2	1752732	0	0	0	0	1619001
G001002585	2	1752735	0	0	0	0	1619014
G001002605	2	1752725	0	0	0	0	1618381
G001002655	2	1752730	0	0	0	0	1618352
G001002765	2	1752732	0	0	0	0	1618994
G001002785	2	0	0	0	0	0	1618495
G001002795	2	1752735	0	0	0	0	1619009
G001002845	2	0	0	0	0	0	1618502
G001002885	2	0	0	0	0	0	1618507
G001002965	2	0	0	0	0	0	1618838
G001003045	2	0	0	0	0	0	1618839
G001003065	2	1752737	0	0	0	0	1618714
G001003085	2	0	0	0	0	0	1618840
G001003095	2	1752735	0	0	0	0	1619012
G001003155	2	1752730	0	0	0	0	1618357
G001003165	2	0	0	0	0	0	1618842
G001003225	2	0	0	0	0	0	1618849
G001003245	2	1752730	0	0	0	0	1618367
G001003265	2	1752724	0	0	0	0	1618470
G001003305	2	0	0	0	0	0	1618503
G001003325	2	0	0	0	0	0	1618847
G001003345	2	1752720	0	0	0	0	1618445
G001003385	2	0	0	0	0	0	1618541
G001003415	2	0	0	0	0	0	1618496
G001003425	2	1752735	0	0	0	0	1619005
G001003465	2	1752730	0	0	0	0	1618365
G001003525	2	1752739	0	0	0	0	1618661
G001003585	2	1752730	0	0	0	0	1618362
G001003605	2	0	0	0	0	0	1618933
G001003645	2	1752735	0	0	0	0	1619016
G001003675	2	1752730	0	0	0	0	1618355
G001003705	2	0	0	0	0	0	1618850
G001003725	2	95818	0	0	0	0	1619071
G001003755	2	1752726	0	0	0	0	1618374
G001003785	2	0	0	0	0	0	1618882
G001003805	2	1752734	0	0	0	0	1618675
G001003845	2	1752734	0	0	0	0	1618669
G001003855	2	1752737	0	0	0	0	1618710
G001003905	2	0	0	0	0	0	1618797
G001004005	2	0	0	0	0	0	1618852
G001004025	2	0	0	0	0	0	1618934
G001004055	2	0	0	0	0	0	1618853
G001004105	2	1752739	0	0	0	0	1618665
G001004225	2	0	0	0	0	0	1618975
G001004265	2	0	0	0	0	0	1618855
G001004285	2	0	0	0	0	0	1618799
G001004305	2	0	0	0	0	0	1618917
G001004355	2	0	0	0	0	0	1618976
G001004375	2	0	0	0	0	0	1620413
G001004435	2	0	0	0	0	0	1618885
G001004445	2	0	0	0	0	0	1620414
G001004485	2	1752732	0	0	0	0	1618989
G001004575	2	1752732	0	0	0	0	1618979
G001004665	2	1752736	0	0	0	0	1618605
G001004735	2	1619053	1801911	0	0	0	1619060
G001004755	2	1752736	0	0	0	0	1618607
G001004775	2	1619053	1801911	0	0	0	1619063
G001004835	2	1619053	0	0	0	0	1619059
G001004905	2	0	0	0	0	0	1618803
G001004965	2	0	0	0	0	0	1618888
G001004985	2	1752734	0	0	0	0	1618672
G001005015	2	0	0	0	0	0	1618889
G001005035	2	0	0	0	0	0	1618804
G001005085	2	201174	1760	85011	2062	1883	1428620
G001005145	2	201174	1760	1217098	1217100	281472	419479
G001005175	2	201174	1760	85007	1762	1763	81858
G001005215	2	1224	28216	80840	80864	198705	1610491
G001005265	2	200795	301297	0	0	670486	943347
G001005305	2	976	117743	200644	49546	221065	1620405
G001005315	2	976	117743	200644	49546	221065	1348245
G001005825	2	1224	28211	356	82115	379	1120688
G001005905	2	1239	91061	1385	90964	45669	407035
G001006045	2157	28890	183980	2231	2232	190818	113653
G001006065	2	976	117747	200666	84566	28453	1338009
G001006085	2157	28889	183924	114380	2272	2273	2274
G001006305	2	57723	204432	204433	204434	1775468	1577686
G001006805	2	1224	28211	356	119045	186650	1033741
G001007025	2	204428	204429	51291	809	810	83558
G001007045	2	204428	204429	51291	809	810	83558
G001007065	2	204428	204429	51291	809	810	83558
G001007085	2	204428	204429	51291	809	810	83558
G001007105	2	204428	204429	51291	809	810	83558
G001007125	2	204428	204429	51291	809	810	83558
G001007145	2	204428	204429	51291	809	810	83558
G001007605	2	1224	1236	135625	712	724	727
G001007625	2	1117	0	1890424	1890426	1129	431041
G001007635	2	1117	0	1890424	1890426	1129	431041
G001007665	2	1117	0	1890424	1890426	1129	431041
G001007875	2	1224	1236	0	0	349742	1543721
G001007935	2	1224	28216	32003	206379	914	44574
G001007995	2	1297	188787	118964	183710	1298	1309411
G001008165	2	1224	28211	204457	335929	361177	1267766
G001008755	2	1239	91061	186826	33958	1578	1623
G001010185	2	1239	91061	186826	33958	1578	1613
G001010245	2	1239	91061	186826	33958	1578	1613
G001010285	2	1224	1236	91347	1903414	29487	574560
G001010485	2	200795	301297	1202465	1202464	61434	1522671
G001010805	2	1224	1236	1706369	1706375	630749	1620392
G001010945	2	1224	28211	204457	335929	1041	1581420
G001011035	2	201174	1760	85011	2062	1883	444103
G001011155	2	1224	28211	356	69277	274591	1620421
G001012655	2	1239	91061	186826	33958	1578	109790
G001012675	2	1239	91061	186826	33958	1578	109790
G001012735	2	1239	91061	186826	33958	1578	109790
G001012745	2	1239	91061	186826	33958	1578	109790
G001012775	2	1239	91061	1385	186822	55080	54913
G001012815	2	1224	1236	135623	641	662	1004326
G001012825	2	1239	91061	1385	186822	44249	1306852
G001013375	2	1239	91061	186826	33958	1578	1582
G001013905	2	201174	1760	85011	2062	1883	1437453
G001014615	2	1224	28211	356	69277	68287	1120658
G001014645	2	1224	1236	135614	32033	83614	1547516
G001015055	2	1239	91061	1385	186822	55079	1443435
G001017125	2157	28890	224756	2191	2194	45989	1550566
G001017175	2	1224	28211	356	119045	186650	1225564
G001017435	2	1224	28216	80840	0	0	413882
G001017485	2	1239	91061	1385	186817	1386	1408
G001017615	2	201174	1760	85007	1653	1716	1719
G001017655	2	134625	1921781	1921782	1921783	1921784	1307763
G001020565	2	976	117743	200644	49546	252356	1197874
G001020585	2	1224	28216	206351	1499392	535	251747
G001020955	2	1224	1236	135613	72276	106633	106634
G001020985	2	201174	1760	85007	1653	1716	571915
G001021025	2	201174	1760	85007	1653	1716	1050174
G001021045	2	201174	1760	85007	1653	1716	136857
G001021065	2	201174	1760	85007	1653	1716	1072256
G001021085	2	1224	28211	356	82115	34019	34020
G001021165	2	200918	188708	1643947	0	160798	1428449
G001021385	2	201174	1760	85007	1762	1763	1545728
G001021495	2	201174	1760	85007	1762	1763	244292
G001021505	2	201174	1760	85007	1762	1763	512402
G001021555	2	1224	28211	204457	335929	1041	874156
G001021715	2	201174	1760	85006	145357	57495	1641401
G001021935	2	1224	1236	135614	32033	338	343
G001021975	2	976	117743	200644	49546	59732	1324352
G001022135	2	1224	1236	91347	543	579	61648
G001022195	2	1224	1236	91347	543	570	571
G001023575	2	201174	1760	0	0	0	1650658
G001025035	2	201174	1760	0	0	0	1641811
G001025155	2	201174	1760	85004	31953	1678	1683
G001025175	2	201174	1760	85004	31953	1678	1685
G001026905	2	1224	28211	597358	597359	454159	1489064
G001026945	2	201174	1760	85007	1653	1716	1719
G001026985	2	1224	1236	91347	1903416	82984	82985
G001027005	2157	28890	224756	94695	2206	2207	2208
G001027025	2	200918	188708	1643946	1643948	651456	1330330
G001027285	2	1224	28221	29	39	47	48
G001027545	2	74152	447830	1783344	1783343	1408194	1408281
G001027745	2	976	117747	200666	84566	84567	1663685
G001027865	2	1224	28216	206351	481	482	1470200
G001027925	2	203682	203683	112	126	265488	595434
G001027945	2	976	117743	200644	49546	104267	104268
G001028025	2	1239	186801	186802	186803	1506553	290055
G001028525	2	203691	203692	136	137	157	1580831
G001028545	2	203691	203692	136	137	157	1580831
G001028585	2	203691	203692	136	137	157	1580831
G001028605	2	203691	203692	136	137	157	1580831
G001028625	2	1224	28211	204457	335929	361177	543877
G001028645	2	1239	91061	1385	90964	1279	29388
G001028705	2	1224	28211	204457	335929	1295327	1348774
G001029265	2	544448	31969	186328	2131	2132	315358
G001029285	2	1239	186801	186802	186807	79206	476652
G001029295	2	1239	186801	186802	186807	0	999898
G001029445	2	1224	1236	135623	641	657	1195763
G001029455	2	1224	1236	135623	641	657	320778
G001029505	2	201174	84995	84996	84997	42255	909625
G001029635	2	1752735	0	0	0	0	1619007
G001029675	2	1752726	0	0	0	0	1618372
G001029715	2	0	0	0	0	0	1619077
G001029795	2	0	0	0	0	0	1620412
G001029935	2	1224	1236	72273	135616	1237	1238
G001037925	2	1224	28216	206351	1499392	57739	1526735
G001038205	2	1224	1236	135625	712	1857532	67855
G001038425	2	1239	91061	1385	186817	484508	694055
G001038485	2	1239	91061	1385	186817	484508	161536
G001038505	2	1224	28211	204455	31989	1608404	1618204
G001038565	2	1239	91061	1385	186817	1386	79884
G001038625	2	1239	186801	186802	31979	1485	217159
G001039045	2	1239	91061	186826	33958	1578	1670446
G001039265	2	1117	0	1890424	1890426	1129	1662190
G001039275	2	1239	91061	1385	186822	55080	1393
G001039475	2	1239	91061	1385	186817	704093	157733
G001039555	2	1117	0	1118	1890450	263510	263511
G001039575	2	1224	1236	135619	28256	2745	1471202
G001039615	2	1117	0	1118	1890450	263510	263511
G001039635	2	1117	0	1118	1890450	263510	263511
G001039735	2	1239	91061	186826	33958	1578	1613
G001040845	2	1117	0	1890424	1890426	1129	32052
G001040865	2	201174	1760	85006	85016	1707	1672219
G001040945	2	1224	28216	80840	75682	963	964
G001042405	2	1239	91061	186826	33958	1578	1600
G001042525	2	1224	1236	72273	34064	262	657445
G001042545	2	1224	1236	72273	34064	262	657445
G001042595	2	201174	1760	85004	31953	1678	1689
G001042635	2	201174	1760	85004	31953	1678	158787
G001042675	2	201174	1760	85004	31953	196082	78258
G001042695	2	201174	1760	85004	31953	196081	78259
G001042715	2	1239	186801	186802	31979	1485	84022
G001043175	2	1224	1236	135622	72275	2742	330734
G001043915	2	1224	28211	356	119045	407	270351
G001044175	2	201174	1760	85007	1653	1716	1724
G001044195	2	1224	1236	72273	135617	44937	1662188
G001044235	2	201174	1760	85007	1762	1763	37916
G001044245	2	201174	1760	85007	1762	1763	1807
G001044335	2	1224	28216	206350	0	0	1623448
G001044395	2	1224	28216	80840	80864	763439	1450524
G001044495	2	1293497	1293498	1293499	407032	35800	1628279
G001044505	2	1293497	1293498	1293499	407032	35800	1628278
G001045435	2	976	117743	200644	49546	59732	232216
G001045465	2	976	117743	200644	49546	59732	558151
G001045525	2	65842	1860136	1860137	1860138	1860139	1008392
G001045555	2	1224	1236	135622	72275	2742	1658765
G001045675	2	1239	909932	1843489	31977	906	39029
G001046635	2	1224	28211	204457	41297	165696	1420591
G001046855	2	201174	1760	85006	85021	99479	99481
G001046875	2	201174	1760	85006	85021	99479	330834
G001046955	2	1224	28211	204455	31989	367771	42444
G001047095	2	1239	91061	186826	81850	559173	1631
G001047115	2	1239	91061	186826	81850	559173	220714
G001047135	2	1239	91061	186826	81850	559173	709323
G001047215	2	201174	1760	85007	1653	1716	1719
G001047375	2	1239	186801	186802	31979	1485	1495
G001047695	2	1239	91061	186826	81850	1243	1245
G001049335	2	1224	1236	91347	1903410	71655	1109412
G001049355	2	201174	1760	85007	1762	1763	1791
G001049735	2	1224	28211	204455	31989	282198	282199
G001049775	2	201174	84998	84999	1643824	1380	82135
G001049895	2	1239	91061	1385	186817	1935206	1631346
G001049915	2	1239	186801	186802	541000	1903506	1632013
G001050095	2	1239	91061	186826	81852	1350	1640685
G001050115	2	1239	91061	1385	186817	1386	1479
G001050135	2	976	768503	768507	563798	68288	320787
G001050215	2	200795	292625	292629	292628	475960	360411
G001050235	2	200795	292625	292629	292628	475961	360412
G001050255	2	200795	292625	292629	292628	475965	229921
G001050275	2	200795	292625	292629	292628	475966	229920
G001050305	2	1239	91061	1385	186820	1637	1497681
G001050375	2	1224	1236	135622	72275	1172191	1513271
G001050435	2	1239	91061	186826	33958	1578	637971
G001050475	2	1239	91061	186826	33958	1578	1007676
G001050535	2	201174	1760	85006	85021	99479	99480
G001050835	2	1117	0	1118	1890450	263510	263511
G001051235	2	1224	1236	0	1400857	221279	1400862
G001051995	2	1224	28216	206389	75787	33057	1134435
G001054195	2	201174	1760	85007	1653	1716	169292
G001054655	2	1239	91061	1385	186817	1386	1579346
G001054945	2	201174	1760	85007	1653	1716	108486
G001055535	2	201174	1760	2037	2049	28263	28264
G001055885	2	1224	1236	135625	712	724	729
G001056295	2	201174	1760	85007	1653	1716	225326
G001057055	2	201174	1760	85006	85016	1707	1711
G001062815	2	1224	1236	72274	468	475	480
G001062845	2	1224	1236	72274	468	475	480
G001063195	2	201174	1760	85006	85023	110932	1575
G001063255	2	1224	28216	206351	481	212742	1056807
G001063475	2	1224	1236	72274	468	475	480
G001064655	2	1224	1236	72274	468	475	480
G001064665	2	1224	1236	72274	468	475	480
G001065625	2	1224	1236	72274	468	475	480
G001065675	2	1224	1236	72274	468	475	480
G001068545	2	1239	91061	1385	90964	1279	1282
G001070095	2	201174	1760	85011	2062	1883	29303
G001070855	2	201174	1760	2037	2049	1069494	1661
G001074355	2	1239	91061	1385	90964	1279	29385
G001077715	2	1224	1236	118969	118968	0	1592897
G001077815	2	1224	28211	204457	335929	1041	1648404
G001077885	2	1224	1236	135623	641	657	680026
G001078055	2	976	768503	768507	1853232	1379908	1379910
G001078275	2	1224	28216	80840	506	517	103855
G001078595	2	1224	28211	204455	31989	1060	1675527
G001083795	2	201174	1760	85011	2062	1883	1580539
G001122605	2	1224	1236	91347	1903411	629	29483
G001179925	2	1224	28211	54526	1655514	198251	198252
G001179945	2	1224	28211	54526	1655514	198251	198252
G001180045	2	1224	28211	54526	1655514	198251	198252
G001180065	2	1224	28211	54526	1655514	198251	198252
G001180145	2	1224	28211	54526	1655514	198251	198252
G001180165	2	1224	28211	54526	1655514	198251	198252
G001180325	2	1117	0	1890424	1213	1218	1219
G001182045	2	1224	28216	80840	995019	0	1506471
G001182745	2	201174	1760	85007	85025	1817	37329
G001182825	2	1239	91061	186826	1300	1301	1676616
G001182895	2	1224	1236	135614	1775411	0	1664276
G001183545	2	1224	1236	1706369	1706371	10	1622269
G001183565	2	201174	1760	2037	2049	76833	1657
G001183965	2	1239	91061	1385	186817	1386	1679169
G001184205	2	1224	28221	453227	453228	1535192	1348163
G001184755	2	1239	91061	1385	186817	1386	1679167
G001185205	2	1224	28211	356	45401	46913	1643450
G001186405	2	40117	203693	189778	189779	179	1660083
G001187435	2	201174	1760	85011	2062	1883	1678637
G001187555	2	1224	1236	1706369	1706371	940550	863921
G001187595	2	1239	91061	1385	186817	150247	198467
G001187615	2	1239	91061	1385	186824	2023	414750
G001187725	2	1239	91061	1385	186822	55080	54915
G001187785	2	1224	1236	135613	1676141	1676142	1579979
G001187845	2	1224	28211	204455	31989	53945	1458307
G001187865	2	1224	1236	91347	543	570	1681196
G001188365	2	1239	91061	1385	186822	44249	665792
G001188545	2	1224	28211	204441	0	212791	225324
G001188915	2	1239	91061	1385	90964	1279	1295
G001189075	2	221216	0	0	0	0	1659198
G001189095	2	221216	0	0	0	0	1659195
G001189105	2	221216	0	0	0	0	1659196
G001189195	2	221216	0	0	0	0	1659201
G001189215	2	221216	0	0	0	0	1659202
G001189275	2157	28889	183924	2266	2267	2276	1227555
G001189295	2	1224	28221	29	49	50	52
G001189495	2	1239	186801	186802	543314	0	143393
G001189535	2	201174	1760	85006	85021	267408	1658671
G001189575	2	1239	91061	1385	186817	84406	1473
G001189915	2	1224	28216	80840	75682	963	180195
G001189955	2	1224	28216	80840	75682	963	211589
G001189965	2	1224	28216	80840	75682	963	346179
G001190015	2	1224	28216	80840	119060	32008	1074049
G001190745	2	1224	29547	213849	72294	194	824
G001190755	2	1224	29547	213849	72294	194	827
G001190785	2	1239	186801	186802	0	1505664	1503
G001190945	2	201174	1760	85006	145357	745364	571913
G001191005	2	1224	28216	80840	75682	149698	1678028
G001192655	2	1224	28211	1921002	0	28905	1629334
G001192795	2	200795	292625	292629	292628	1769713	1678840
G001192835	2	976	200643	171549	1840213	1840214	1678841
G001202015	2	1224	28211	204455	31989	238783	1077947
G001202025	2	1224	28211	204455	31989	238783	687412
G001202035	2	1224	28211	204455	31989	238783	1120568
G001205715	2	1224	28211	204455	31989	1608457	1317121
G001235865	2	1224	28211	204457	335929	1041	225971
G001242845	2	1224	1236	91347	543	1699619	1594731
G001243045	2	1239	186801	186802	31979	1485	1622073
G001243895	2	1239	91061	1385	186817	1386	1622072
G001244495	2	1239	186801	186802	31979	1485	1650661
G001244545	2	1239	526524	526525	128827	1470349	1658109
G001244995	2	1239	186801	186802	0	1392389	1673721
G001247715	2	1224	28211	204455	31989	74030	74031
G001247745	2	201174	1760	85006	145357	745364	1631356
G001258055	2	1224	28211	204455	31989	481445	481446
G001261715	2	976	200643	171549	171551	156973	1658009
G001261735	2	976	200643	171549	171551	156973	1658008
G001261775	2	1239	186801	186802	541000	1924093	1673717
G001262015	2	976	200643	171549	171552	838	589436
G001262035	2	1224	1236	135625	712	416916	732
G001262055	2	201174	1760	2037	2049	1654	52773
G001262075	2	1224	28216	80840	80864	219181	1658672
G001262495	2	201174	1760	85006	85023	33882	1692239
G001262595	2	1224	28211	356	119045	407	1692501
G001262605	2	1239	186801	186802	541000	1486726	35825
G001262635	2	1224	28211	204455	31989	1608457	1470562
G001262715	2	544448	31969	186328	2131	2132	216946
G001263175	2	1224	28221	29	1524213	1524214	1391653
G001263205	2	1224	28221	29	1524216	1524217	1391654
G001263355	2	1239	186801	186802	186806	33951	52689
G001263395	2	201174	1760	85004	31953	1678	638619
G001263415	2	1239	186801	186802	186807	278993	281456
G001263615	2	201174	1760	85006	1268	1663	1588020
G001263755	2	201174	1760	85007	1653	1716	156976
G001263795	2	1239	186801	186802	31979	1485	36844
G001264245	2	1117	0	1118	1890449	1125	513223
G001265075	2	1239	91061	1385	90964	45669	1572701
G001266655	2157	28889	183924	2281	118883	41980	43687
G001266675	2157	28889	183924	2281	118883	41980	43687
G001266695	2157	28889	183924	2281	118883	41980	43687
G001266715	2157	28889	183924	2281	118883	41980	43687
G001266735	2157	28889	183924	2281	118883	41980	43687
G001267155	2	544448	31969	186328	2131	2132	216942
G001267175	2	1224	1236	72274	135621	1849530	1697053
G001267535	2	1224	1236	91347	1903409	551	1560201
G001267865	2	1239	91061	186826	81852	1350	53345
G001267925	2	1224	28216	80840	75682	963	341045
G001267945	2	1224	1236	135623	641	662	663
G001267955	2	976	768503	768507	200667	290180	1914963
G001269425	2	1224	1236	0	0	0	186490
G001269985	2	1224	1236	135622	267888	53246	1690037
G001270065	2	1224	28216	80840	80864	665874	540060
G001270375	2	1239	186801	186802	31979	1485	747377
G001270745	2	201174	1760	1217098	1217100	281472	702383
G001270965	2	976	200643	171549	1471398	1254401	1409788
G001273385	2157	928852	0	0	0	0	1685126
G001273495	2157	928852	0	0	0	0	1685135
G001273775	2	40117	203693	189778	189779	1234	42253
G001273835	2	201174	1760	85006	85023	55968	668625
G001273895	2	1239	91061	1385	186817	1386	1684141
G001274535	2	32066	203490	203491	1129771	32067	712357
G001274715	2	1239	91061	1385	186822	55079	47500
G001274775	2	1239	91061	1385	186817	1386	189381
G001274875	2	544448	31969	186328	2131	2132	47834
G001274895	2	201174	1760	85007	1653	1716	1231000
G001274915	2	1239	91061	1385	186817	1386	136160
G001274935	2	1239	91061	1385	186817	1386	284581
G001274945	2	1239	91061	1385	186818	496496	263475
G001275035	2	1224	1236	135613	1046	67575	1635005
G001275135	2	976	200643	171549	171552	838	1676614
G001275345	2	201174	1760	85006	1268	57493	71999
G001275395	2	1117	0	1161	1892263	162985	1704290
G001275645	2	1239	91061	1385	186817	1386	1705110
G001276545	2	1224	1236	135625	712	724	727
G001276605	2	1224	1236	72273	135617	44937	1604835
G001276615	2	1224	1236	72273	135617	44937	1604836
G001276625	2	1224	1236	72273	135617	44937	1604834
G001276715	2	1117	0	1150	1892252	132607	1705388
G001277345	2	1239	91061	1385	186822	44249	1705565
G001277855	2	1239	91061	1385	186822	44249	1406
G001277995	2	201174	1760	85007	1653	1716	1408191
G001278035	2	1224	28211	204457	41297	165697	292913
G001278055	2	1224	28221	69541	213421	890	1603606
G001278075	2	201174	1760	85011	2062	1883	38300
G001278115	2	976	117743	200644	49546	237	1202724
G001278705	2	1239	91061	1385	186817	1386	1441095
G001278755	2	1239	91061	1385	186817	1386	1581038
G001278805	2	1239	91061	1385	186817	1386	1705566
G001279585	2	201174	1760	85012	83676	2013	1519494
G001279695	2	201174	1760	85011	2062	1883	1415557
G001279725	2	201174	1760	85011	2062	1883	1415551
G001279985	2	201174	1760	85011	2062	1883	1519489
G001280145	2	201174	1760	85008	28056	195964	53367
G001280225	2	1224	1236	91347	1903409	32199	9
G001280435	2	976	117743	200644	49546	1211036	1645915
G001280505	2	976	117743	200644	49546	1211036	1645914
G001280515	2	976	117743	200644	49546	1211036	1645916
G001280545	2	40117	203693	189778	189779	179	178606
G001280565	2	1239	186801	186802	539000	28033	28034
G001280845	2	1239	91061	1385	186817	1386	1679165
G001280865	2	976	117743	200644	49546	52959	326329
G001280875	2	1239	186801	186802	186803	1769710	1653434
G001281045	2	544448	31969	186328	2131	2132	362837
G001281115	2	201174	1760	85006	1268	1663	1690248
G001281175	2	1239	91061	186826	33958	1578	1218495
G001281385	2	1224	1236	0	0	0	1427364
G001281405	2	1224	28211	356	772	773	1318743
G001281465	2	1224	28216	80840	119060	106589	82541
G001281505	2	201174	1760	85007	0	1847725	1528099
G001281525	2	1239	91061	1385	186817	400634	33935
G001281695	2	0	0	0	0	0	1664068
G001282625	2	976	200643	171549	171551	1924067	1627894
G001282665	2	1239	186801	186802	0	0	1686289
G001282685	2	1239	186801	186802	186803	0	1658108
G001282725	2	1239	186801	186802	31979	0	1658111
G001282785	2157	28890	183963	1644055	1963271	1075397	1480675
G001282905	2	1239	91061	1385	186822	55079	47500
G001282925	2	1239	91061	1385	186822	55079	47500
G001282945	2	1224	29547	213849	72293	209	1578720
G001283065	2	1224	29547	213849	72293	209	35817
G001283625	2	1224	1236	91347	543	561	562
G001286805	2	1239	1737404	0	0	1472763	1686287
G001291445	2	201174	1760	85007	1762	1763	56689
G001292585	2	1224	28221	213118	213119	1141978	1509431
G001292625	2	1224	28211	204455	31989	573139	1389006
G001292705	2	1224	1236	1706369	1706371	1792291	1513270
G001293125	2	201174	1760	85007	0	1847725	1528099
G001293165	2	1224	1236	0	0	0	1705394
G001293525	2	1224	28216	80840	0	36862	1547922
G001293545	2	200795	1382928	1382929	1382930	1382931	872965
G001293565	2	1224	28211	204455	31989	152180	1514904
G001294205	2	1224	28216	206351	481	1433987	857265
G001294445	2	1224	28216	80840	80864	283	225992
G001294455	2	1224	28211	204455	31989	302485	1225647
G001294465	2	1224	1236	91347	1903414	158848	158849
G001294525	2	1239	91061	1385	186822	55079	47500
G001294535	2	1224	28211	204455	31989	238783	1678131
G001294685	2	1224	1236	135622	267893	135575	86102
G001294745	2	1224	1236	135622	267893	135575	86103
G001295265	2	976	117743	200644	49546	59732	253
G001295365	2	1239	91061	1385	186817	1906945	1426
G001295775	2	1224	28216	0	0	0	1523428
G001295795	2	1224	28211	204457	41297	165696	1523425
G001295845	2	1224	28211	356	41294	1073	1523430
G001295865	2	1224	28216	0	0	0	1523424
