taxon	dist	rank
2	0.00179001	kingdom
838	0.192419	genus
186801	0.162567	class
2	0.00179001	kingdom
1616833	0.19098	genus
2705406	0.19335309	genus
2	0.00179001	kingdom
200644	0.193927	order
682522	0.193927	genus
762296	0.194238	genus
574976	0.195512	family
2260	0.195864722	genus
2137278	0.183074	family
928852	0.039295977	phylum
28056	0.196503	family
914	0.197876	genus
1826864	0.198423957	genus
1150	0.198947	order
28056	0.196503	family
41980	0.199554622	genus
135613	0.199681	order
119977	0.200055	genus
29521	0.0357229	genus
213118	0.201205	order
186802	0.108059	order
1236	0.00566812	class
164450	0.112252423	genus
2	0.00179001	kingdom
1760	0.00322406	class
1752728	0.203639	phylum
201174	0.203639	phylum
171549	0.182856	order
97084	0.204064	species
768507	0.121768	order
356	0.129667	order
45404	0.205824	family
1385	0.0188885	order
155977	0.20628	genus
2276	0.048820567	genus
135613	0.199681	order
85023	0.207212	family
81	0.159453	order
2308	0.207962275	genus
135620	0.208665	family
224380	0.209164	family
32033	0.209164	family
31957	0.000200824	family
488937	0.210189	genus
596498	0.210189	family
84567	0.120001	genus
2	0.00179001	kingdom
2	0.00179001	kingdom
99906	0.211247	genus
574976	0.195512	family
2270	0.04544998	genus
1706372	0.0118401	family
563798	0.212906	family
2005473	0.0116829	family
1224	0.0238972	phylum
28231	0.214658	genus
268141	0.214658	species
558314	0.214658	family
102231	0.215264	genus
186802	0.108059	order
976	0.000163619	phylum
213116	0.215883	family
2448023	0.215883	family
85017	0.215883	family
1676142	0.216514	genus
186802	0.108059	order
72294	0.217158	family
29	0.217158	phylum
596498	0.210189	family
44474	0.217158	genus
2	0.00179001	kingdom
1224	0.0238972	phylum
2	0.00179001	kingdom
83551	0.219174	genus
184923	0.219174	genus
90627	0.219174	family
2	0.00179001	kingdom
359407	0.219174	genus
85017	0.215883	family
1236	0.00566812	class
433	0.219876	family
126	0.220594	family
1970190	0.221329	family
1055686	0.221329	family
1860139	0.221329	genus
200667	0.222082	family
1843490	0.222853	family
1117	0.115616	phylum
445	0.222853	genus
28211	0.176773	class
588673	0.222853	order
1643824	0.223644	family
558415	0.223644	family
1676142	0.216514	genus
41295	0.224455	family
213849	0.224455	order
1890500	0.224455	family
49546	0.225288	family
2	0.00179001	kingdom
219687	0.226144	family
2183	0.226798973	family
208215	0.227024	genus
1117	0.115616	phylum
2	0.00179001	kingdom
1890429	0.227024	family
2422	0.228863	genus
976	0.000163619	phylum
53244	0.228863	genus
1042322	0.175894	family
1224	0.0238972	phylum
541000	0.136738	family
445	0.222853	genus
2260	0.195864722	genus
28211	0.176773	class
135618	0.118187	order
908620	0.232899	class
74201	0.233995	phylum
1495038	0.233995	genus
893	0.233995	genus
742031	0.236311	family
2024979	0.236311	order
41273	0.236311	genus
1706441	0.237239616	phylum
890	0.237536	class
186802	0.108059	order
976	0.000163619	phylum
80864	0.238811	family
171549	0.182856	order
89373	0.238811	family
35800	0.238811	genus
28211	0.176773	class
134623	0.240141	family
200644	0.193927	order
84994	0.24153	family
31969	0.24153	class
976	0.000163619	phylum
213119	0.242983	family
67814	0.242983	phylum
795749	0.242983	family
171549	0.182856	order
682522	0.193927	genus
456828	0.244508	phylum
1501348	0.24611	family
513557	0.2478	genus
40544	0.2478	genus
29	0.217158	phylum
976	0.000163619	phylum
246874	0.249585	family
1224	0.0238972	phylum
213121	0.249585	family
64898	0.249585	family
1234	0.249585	genus
1234	0.249585	genus
31993	0.249585	family
1236	0.00566812	class
2259	0.086704214	family
563843	0.25148	family
1224	0.0238972	phylum
28033	0.25148	genus
1236	0.00566812	class
239759	0.162454	genus
84993	0.253496	order
415002	0.253496	family
28211	0.176773	class
1334117	0.253496	family
104175	0.253496	genus
1236	0.00566812	class
67819	0.255652	phylum
204441	0.158548	order
2	0.00179001	kingdom
2	0.00179001	kingdom
2	0.00179001	kingdom
134621	0.255652	family
1236	0.00566812	class
187145	0.255652	species
292628	0.255652	family
67819	0.255652	phylum
2	0.00179001	kingdom
1495039	0.257967	species
186807	0.260468	family
28211	0.176773	class
2	0.00179001	kingdom
191412	0.170938	family
204434	0.260468	family
74201	0.233995	phylum
2	0.00179001	kingdom
433	0.219876	family
29	0.217158	phylum
203682	0.260468	phylum
356	0.129667	order
1738654	0.260468	family
563835	0.263187	family
1239	0.00527053	phylum
255527	0.263187	family
118968	0.263187	family
795748	0.263187	order
972	0.263187	family
332247	0.263187	family
157	0.263187	order
74201	0.233995	phylum
1106	0.263187	family
1224	0.0238972	phylum
1236	0.00566812	class
208215	0.227024	genus
170	0.269458	family
201174	0.203639	phylum
437506	0.269458	genus
204434	0.260468	family
246874	0.249585	family
203682	0.260468	phylum
188787	0.269458	class
976	0.000163619	phylum
1106	0.263187	family
1117	0.115616	phylum
186802	0.108059	order
2	0.00179001	kingdom
976	0.000163619	phylum
28211	0.176773	class
