,Taxonomic_rank,Taxon,Reference_genome_in_phylum,Distance_to_closest,Precision,Recall,F1,Method
186,phylum,651137,49,0.185317881,0.9554509868703764,0.330916623460731,0.4915735658303106,Kraken-II
187,species,651137,49,0.185317881,0.0,0.0,0.0,Kraken-II
188,kingdom,651137,49,0.185317881,0.9536826447893271,0.3323527618076526,0.4929204820574238,Kraken-II
189,class,28890,407,0.120344429,0.9673409508310141,0.3806991689003966,0.5463682553554623,Kraken-II
190,family,28890,407,0.120344429,0.9341859738243719,0.36985563450459324,0.5299083930226536,Kraken-II
191,genus,28890,407,0.120344429,0.7417679685503883,0.31371146193805444,0.4409349958626821,Kraken-II
192,order,28890,407,0.120344429,0.9676397895552827,0.38065290367761123,0.5463682561147092,Kraken-II
193,phylum,28890,407,0.120344429,0.9714285710550169,0.38319883496401935,0.5495940020924145,Kraken-II
194,species,28890,407,0.120344429,0.0,0.0,0.0,Kraken-II
195,kingdom,28890,407,0.120344429,0.9685587511595171,0.38456982301092413,0.5505400180280129,Kraken-II
196,class,28889,167,0.009329546,0.9999999998499106,0.9994000028500757,0.9996949113493431,Kraken-II
197,family,28889,167,0.009329546,0.9999999998499106,0.9994000028500757,0.9996949113493431,Kraken-II
198,genus,28889,167,0.009329546,0.9998897393126217,0.9522802278799459,0.975499436331956,Kraken-II
199,order,28889,167,0.009329546,0.9999999998499106,0.9994000028500757,0.9996949113493431,Kraken-II
200,phylum,28889,167,0.009329546,0.9999999998499106,0.9994000028500757,0.9996949113493431,Kraken-II
201,species,28889,167,0.009329546,0.9998897393126217,0.9522802278799459,0.975499436331956,Kraken-II
202,kingdom,28889,167,0.009329546,0.9999999998499106,0.9994000028500757,0.9996949113493431,Kraken-II
203,class,1224,2975,0.0206378,0.9969039215332405,0.9008588918787535,0.9464460189493228,Kraken-II
204,family,1224,2975,0.0206378,0.9942355428761914,0.8998205695179776,0.944669868249763,Kraken-II
205,genus,1224,2975,0.0206378,0.9942686724655923,0.8997934350225723,0.9446698682655494,Kraken-II
206,order,1224,2975,0.0206378,0.9969702517026567,0.9007896516656705,0.9464376942202699,Kraken-II
207,phylum,1224,2975,0.0206378,0.9974716809997718,0.9015560398554376,0.947086630996589,Kraken-II
208,species,1224,2975,0.0206378,0.7309370273180719,0.8215562543572477,0.7735969300965925,Kraken-II
209,kingdom,1224,2975,0.0206378,0.9998172087806478,0.9026494237724061,0.9487469248675987,Kraken-II
210,class,28889,167,0.21257835,0.9317844769619633,0.08535462543803984,0.1563824120424608,Kraken-II
211,family,28889,167,0.21257835,0.926651176689925,0.08431861078379485,0.15457072607733885,Kraken-II
212,genus,28889,167,0.21257835,0.2700543843132998,0.02547617520273902,0.046558433944225305,Kraken-II
213,order,28889,167,0.21257835,0.9252692611014595,0.08433007126912981,0.154570724001945,Kraken-II
214,phylum,28889,167,0.21257835,0.9256834163927264,0.08540618910404207,0.15638240284362487,Kraken-II
215,species,28889,167,0.21257835,0.0,0.0,0.0,Kraken-II
216,kingdom,28889,167,0.21257835,0.93159344961648,0.08675371724858423,0.15872465446962403,Kraken-II
217,class,28889,167,0.525434874,0.8148546795304819,0.03433054677414846,0.0658845123552773,Kraken-II
218,family,28889,167,0.525434874,0.7072243319116945,0.028225867637642704,0.05428443414039746,Kraken-II
219,genus,28889,167,0.525434874,0.0,0.0,0.0,Kraken-II
220,order,28889,167,0.525434874,0.7121951192788175,0.02880121395617584,0.05536277650784519,Kraken-II
221,phylum,28889,167,0.525434874,0.8110714256747449,0.03433729474215469,0.06588450888951149,Kraken-II
222,species,28889,167,0.525434874,0.0,0.0,0.0,Kraken-II
223,kingdom,28889,167,0.525434874,0.8508650489589444,0.03712482637279956,0.07114464334239576,Kraken-II
224,class,1224,2975,0.00370875,0.9995625017349723,0.9942825413436354,0.9969105305893271,Kraken-II
225,family,1224,2975,0.00370875,0.9995169518160316,0.9936819988003778,0.9965859346640629,Kraken-II
226,genus,1224,2975,0.00370875,0.9995169518160316,0.9936819988003778,0.9965859346640629,Kraken-II
227,order,1224,2975,0.00370875,0.9995322447717758,0.99410228690286,0.9968048712536822,Kraken-II
228,phylum,1224,2975,0.00370875,0.9995625083350336,0.9942975477964078,0.996918076833019,Kraken-II
229,species,1224,2975,0.00370875,0.9924699259373982,0.9698851615337133,0.9810425802831823,Kraken-II
230,kingdom,1224,2975,0.00370875,0.9999999998492659,0.9951250242256101,0.9975515562281708,Kraken-II
231,class,28890,407,0.102560516,0.9770353977977719,0.3338120577592955,0.49760741758751437,Kraken-II
232,family,28890,407,0.102560516,0.9785074887093381,0.3336405668711068,0.497607421350151,Kraken-II
233,genus,28890,407,0.102560516,0.9754884542737619,0.3322695303135038,0.4956920407102385,Kraken-II
234,order,28890,407,0.102560516,0.9780740605164449,0.33369098707403566,0.49760742024288385,Kraken-II
235,phylum,28890,407,0.102560516,0.9784404678690345,0.33465298654638886,0.4987238798728004,Kraken-II
236,species,28890,407,0.102560516,0.044812330505298356,0.02021979908555426,0.02786182817421214,Kraken-II
237,kingdom,28890,407,0.102560516,0.9757879904138986,0.33525417058619505,0.4990449703307544,Kraken-II
238,class,1224,2975,0.0,0.9999999998499759,0.9998350006750213,0.999912493480791,Kraken-II
239,family,1224,2975,0.0,0.9999699734266199,0.9991149777245758,0.9995372927634583,Kraken-II
