,Taxonomic_Rank,Taxon,Reference_Count,Distance_to_closest,Precision,Recall,F1,Method
89,species,28890,407,0.076378256,0.0,0.0,0.0,Kraken-II (4Gb)
90,superkingdom,28890,407,0.076378256,0.9999040389598849,0.15630156299218467,0.2703415589060822,Kraken-II (4Gb)
91,class,28890,407,0.034525996,0.9998981848957929,0.5892774101691677,0.74153379524455,Kraken-II (4Gb)
92,family,28890,407,0.034525996,0.9998981848957929,0.5892774101691677,0.74153379524455,Kraken-II (4Gb)
93,genus,28890,407,0.034525996,0.9990052032958358,0.5878159331530564,0.7401306444165726,Kraken-II (4Gb)
94,order,28890,407,0.034525996,0.9998981848957929,0.5892774101691677,0.74153379524455,Kraken-II (4Gb)
95,phylum,28890,407,0.034525996,0.9998982030335678,0.5893824159444696,0.741616934706895,Kraken-II (4Gb)
96,species,28890,407,0.034525996,0.9709425570107691,0.5730283934862566,0.7207053343918712,Kraken-II (4Gb)
97,superkingdom,28890,407,0.034525996,0.999949101389538,0.5893947347799603,0.741640686918873,Kraken-II (4Gb)
98,class,28890,407,0.488043988,0.45864658205664793,0.0009159846833972543,0.0018282781639315136,Kraken-II (4Gb)
99,family,28890,407,0.488043988,0.0,0.0,0.0,Kraken-II (4Gb)
100,genus,28890,407,0.488043988,0.0,0.0,0.0,Kraken-II (4Gb)
101,order,28890,407,0.488043988,0.49593491902968134,0.0009158471584842208,0.0018282811495501578,Kraken-II (4Gb)
102,phylum,28890,407,0.488043988,0.6959063920522578,0.0017863844476789935,0.0035635700406379746,Kraken-II (4Gb)
103,species,28890,407,0.488043988,0.0,0.0,0.0,Kraken-II (4Gb)
104,superkingdom,28890,407,0.488043988,0.7558139095457029,0.001951219511902256,0.0038923390096129505,Kraken-II (4Gb)
105,class,976,834,0.0,0.9999252669830495,0.8028441563081703,0.8906071890665761,Kraken-II (4Gb)
106,family,976,834,0.0,0.99992525581136,0.8027241497078252,0.8905333401141051,Kraken-II (4Gb)
107,genus,976,834,0.0,0.9999252208782925,0.802349129081747,0.8903024987553823,Kraken-II (4Gb)
108,order,976,834,0.0,0.9999252613976223,0.8027841530079978,0.8905702658192756,Kraken-II (4Gb)
109,phylum,976,834,0.0,0.9999439815886872,0.803297131764776,0.8908932609411824,Kraken-II (4Gb)
110,species,976,834,0.0,0.9976829138925617,0.7181020492941129,0.8351092763221076,Kraken-II (4Gb)
111,superkingdom,976,834,0.0,0.9999999998133492,0.8036359816995461,0.8911238566622239,Kraken-II (4Gb)
112,class,28889,167,0.03156216,0.9999788420362264,0.7089520894145513,0.8296800391223418,Kraken-II (4Gb)
113,family,28889,167,0.03156216,0.9999788339753674,0.7086820867145648,0.8294951100893236,Kraken-II (4Gb)
114,genus,28889,167,0.03156216,0.9996822099108742,0.707945747958359,0.8288885434464143,Kraken-II (4Gb)
115,order,28889,167,0.03156216,0.9999788375587296,0.7088020879145588,0.8295773079853948,Kraken-II (4Gb)
116,phylum,28889,167,0.03156216,0.9999788420362264,0.7089520894145513,0.8296800391223418,Kraken-II (4Gb)
117,species,28889,167,0.03156216,0.0,0.0,0.0,Kraken-II (4Gb)
118,superkingdom,28889,167,0.03156216,0.9999788451693471,0.709057090464546,0.8297519401886491,Kraken-II (4Gb)
119,class,28889,167,0.020868978,0.9999035268580876,0.777399417842639,0.8747186836127712,Kraken-II (4Gb)
120,family,28889,167,0.020868978,0.9998841585095309,0.7769010364715649,0.874395699956649,Kraken-II (4Gb)
121,genus,28889,167,0.020868978,0.999513523837417,0.770760181151412,0.8703522746384597,Kraken-II (4Gb)
122,order,28889,167,0.020868978,0.9998841674549924,0.7769610415719894,0.8744337076543139,Kraken-II (4Gb)
123,phylum,28889,167,0.020868978,0.9999035268580876,0.777399417842639,0.8747186836127712,Kraken-II (4Gb)
124,species,28889,167,0.020868978,0.9985425237914646,0.6995300228682818,0.8227049690567948,Kraken-II (4Gb)
125,superkingdom,28889,167,0.020868978,0.9999035287194613,0.7774144188927102,0.8747281803254834,Kraken-II (4Gb)
126,class,28890,407,0.012389386,0.9997828359623747,0.7597515601356589,0.8633900583625251,Kraken-II (4Gb)
127,family,28890,407,0.012389386,0.9997828359623747,0.7597515601356589,0.8633900583625251,Kraken-II (4Gb)
128,genus,28890,407,0.012389386,0.9997828230997466,0.7597065529345135,0.863360990706547,Kraken-II (4Gb)
129,order,28890,407,0.012389386,0.9997828359623747,0.7597515601356589,0.8633900583625251,Kraken-II (4Gb)
130,phylum,28890,407,0.012389386,0.9997828359623747,0.7597515601356589,0.8633900583625251,Kraken-II (4Gb)
131,species,28890,407,0.012389386,0.9986406591726058,0.6948982042077205,0.8195259265477886,Kraken-II (4Gb)
132,superkingdom,28890,407,0.012389386,0.9997828359623747,0.7597515601356589,0.8633900583625251,Kraken-II (4Gb)
133,class,28890,407,0.195864722,0.9721407482090799,0.009947785378413787,0.019693843723539134,Kraken-II (4Gb)
134,family,28890,407,0.195864722,0.9807692162608105,0.009946889907590408,0.019693845469823078,Kraken-II (4Gb)
135,genus,28890,407,0.195864722,0.6893787436998248,0.005171999036990017,0.010266823271605259,Kraken-II (4Gb)
136,order,28890,407,0.195864722,0.9807692162608105,0.009946889907590408,0.019693845469823078,Kraken-II (4Gb)
137,phylum,28890,407,0.195864722,0.9782923157989535,0.010142231289362324,0.02007612255976633,Kraken-II (4Gb)
138,species,28890,407,0.195864722,0.0,0.0,0.0,Kraken-II (4Gb)
139,superkingdom,28890,407,0.195864722,0.9754689613929444,0.010142535632386715,0.020076121978011046,Kraken-II (4Gb)
140,class,651137,49,0.031894266,0.9972856907319374,0.3696246245691254,0.5393457759002795,Kraken-II (4Gb)
141,family,651137,49,0.031894266,0.9972856907319374,0.3696246245691254,0.5393457759002795,Kraken-II (4Gb)
142,genus,651137,49,0.031894266,0.9913319492974679,0.36656935619126474,0.5352218704667373,Kraken-II (4Gb)
143,order,651137,49,0.031894266,0.9972856907319374,0.3696246245691254,0.5393457759002795,Kraken-II (4Gb)
144,phylum,651137,49,0.031894266,0.9987110283578865,0.3720867411462314,0.5421724915126711,Kraken-II (4Gb)
145,species,651137,49,0.031894266,0.9854684665793395,0.360994661706277,0.5284158268616409,Kraken-II (4Gb)
146,superkingdom,651137,49,0.031894266,0.9986309088352134,0.3721879548613768,0.5422681203523314,Kraken-II (4Gb)
147,class,28890,407,0.231827456,0.9875233874764605,0.02375200683845454,0.04638781966858026,Kraken-II (4Gb)
148,family,28890,407,0.231827456,0.9875233874764605,0.02375200683845454,0.04638781966858026,Kraken-II (4Gb)
149,genus,28890,407,0.231827456,0.10174215956974104,0.00223316712009649,0.004369986664685087,Kraken-II (4Gb)
150,order,28890,407,0.231827456,0.9875233874764605,0.02375200683845454,0.04638781966858026,Kraken-II (4Gb)
151,phylum,28890,407,0.231827456,0.991980252979764,0.024124583667278095,0.047103161466011984,Kraken-II (4Gb)
152,species,28890,407,0.231827456,0.0,0.0,0.0,Kraken-II (4Gb)
153,superkingdom,28890,407,0.231827456,0.9901598955094717,0.024155676580373035,0.04716036518630569,Kraken-II (4Gb)
154,class,28890,407,0.055658351,0.9890336920072573,0.09344124446778562,0.17074886843722356,Kraken-II (4Gb)
155,family,28890,407,0.055658351,0.9867707985547166,0.0929802955525381,0.1699454462527946,Kraken-II (4Gb)
156,genus,28890,407,0.055658351,0.9846625750974127,0.0916150934189126,0.16763167774283233,Kraken-II (4Gb)
157,order,28890,407,0.055658351,0.9890336920072573,0.09344124446778562,0.17074886843722356,Kraken-II (4Gb)
158,phylum,28890,407,0.055658351,0.9898573676864384,0.09377955946522235,0.17132589139349275,Kraken-II (4Gb)
159,species,28890,407,0.055658351,0.9353028537129843,0.0855073557019227,0.15668826511046074,Kraken-II (4Gb)
160,superkingdom,28890,407,0.055658351,0.988453019632311,0.09383728262398455,0.17140112623160564,Kraken-II (4Gb)
161,class,28890,407,0.108425931,0.997088185526549,0.17986853160945662,0.3047576200832762,Kraken-II (4Gb)
162,family,28890,407,0.108425931,0.997586148661906,0.17985233647770754,0.30475762114274974,Kraken-II (4Gb)
163,genus,28890,407,0.108425931,0.995406330079841,0.17891671167673742,0.3033122990283886,Kraken-II (4Gb)
164,order,28890,407,0.108425931,0.997088185526549,0.17986853160945662,0.3047576200832762,Kraken-II (4Gb)
165,phylum,28890,407,0.108425931,0.9975074767385282,0.18017017570116148,0.30521012422078786,Kraken-II (4Gb)
166,species,28890,407,0.108425931,0.0,0.0,0.0,Kraken-II (4Gb)
167,superkingdom,28890,407,0.108425931,0.9972627728954356,0.18043341234498403,0.30557625895700125,Kraken-II (4Gb)
168,class,28889,167,0.580348636,0.8636362982093714,0.0017104532698599447,0.003414105287135813,Kraken-II (4Gb)
169,family,28889,167,0.580348636,0.378378327246172,0.00042028789714650214,0.0008396209860429814,Kraken-II (4Gb)
170,genus,28889,167,0.580348636,0.0,0.0,0.0,Kraken-II (4Gb)
171,order,28889,167,0.580348636,0.779816442218675,0.0012754527855475513,0.002546707567360884,Kraken-II (4Gb)
172,phylum,28889,167,0.580348636,0.8656715771886883,0.001740461221962751,0.003473897928193903,Kraken-II (4Gb)
173,species,28889,167,0.580348636,0.0,0.0,0.0,Kraken-II (4Gb)
174,superkingdom,28889,167,0.580348636,0.8928570790816371,0.0018754125904885954,0.003742921395154166,Kraken-II (4Gb)
